ID,Relationship,Target_ID
HAO:0000104,BFO:0000050,HAO:0000101
HAO:0000105,is_a,HAO:0000146
HAO:0000105,BFO:0000050,HAO:0000316
HAO:0000106,is_a,HAO:0000978
HAO:0000106,BFO:0000050,HAO:0000316
HAO:0000107,is_a,HAO:0000003
HAO:0000107,BFO:0000050,HAO:0000101
HAO:0000108,is_a,HAO:0001779
HAO:0000108,HAO:attached_to,HAO:0000234
HAO:0000108,HAO:attached_to,HAO:0000506
HAO:0000110,is_a,HAO:0000146
HAO:0000110,BFO:0000050,HAO:0000475
HAO:0000111,is_a,HAO:0000146
HAO:0000111,BFO:0000050,HAO:0000800
HAO:0000112,is_a,HAO:0000909
HAO:0000112,BFO:0000050,HAO:0000376
HAO:0000113,is_a,HAO:0001549
HAO:0000113,HAO:attached_to,HAO:0001044
HAO:0000113,HAO:attached_to,HAO:0000456
HAO:0000114,is_a,HAO:0000899
HAO:0000114,BFO:0000050,HAO:0000566
HAO:0000115,is_a,HAO:0000551
HAO:0000115,HAO:attached_to,HAO:0000547
HAO:0000115,HAO:attached_to,HAO:0001788
HAO:0000116,is_a,HAO:0000146
HAO:0000116,BFO:0000050,HAO:0000566
HAO:0000117,is_a,HAO:0000978
HAO:0000117,BFO:0000050,HAO:0000566
HAO:0000118,is_a,HAO:0001787
HAO:0000118,HAO:attached_to,HAO:0000547
HAO:0000118,HAO:attached_to,HAO:0000566
HAO:0000120,is_a,HAO:0000353
HAO:0000120,BFO:0000050,HAO:0000800
HAO:0000121,is_a,HAO:0000142
HAO:0000121,BFO:0000050,HAO:0000548
HAO:0000122,is_a,HAO:0000822
HAO:0000122,BFO:0000050,HAO:0000125
HAO:0000123,is_a,HAO:0000829
HAO:0000123,BFO:0000050,HAO:0000176
HAO:0000124,is_a,HAO:0000899
HAO:0000124,BFO:0000050,HAO:0000825
HAO:0000125,is_a,HAO:0000146
HAO:0000125,BFO:0000050,HAO:0000853
HAO:0000126,is_a,HAO:0000999
HAO:0000126,BFO:0000050,HAO:0000502
HAO:0000127,is_a,HAO:0000648
HAO:0000127,BFO:0000050,HAO:0000566
HAO:0000128,is_a,HAO:0000938
HAO:0000128,BFO:0000050,HAO:0000575
HAO:0000129,is_a,HAO:0000241
HAO:0000130,is_a,HAO:0000223
HAO:0000130,BFO:0000050,HAO:0000575
HAO:0000131,is_a,HAO:0000899
HAO:0000131,BFO:0000050,HAO:0000853
HAO:0000132,is_a,HAO:0000418
HAO:0000132,BFO:0000050,HAO:0000853
HAO:0000133,is_a,HAO:0000146
HAO:0000133,BFO:0000050,HAO:0000853
HAO:0000134,is_a,HAO:0000146
HAO:0000134,BFO:0000050,HAO:0000387
HAO:0000135,is_a,HAO:0000146
HAO:0000135,BFO:0000050,HAO:0000875
HAO:0000136,is_a,HAO:0000241
HAO:0000136,BFO:0000050,HAO:0000203
HAO:0000137,is_a,HAO:0000342
HAO:0000138,is_a,HAO:0002299
HAO:0000138,BFO:0000050,HAO:0002033
